PostcodeDistrict,EstimatedCatPopulation
GU46,"4,043.90"
GU47,"2,938.00"
GU5,"1,297.48"
GU51,"5,019.08"
GU52,"1,990.66"
GU6,"5,358.42"
GU7,"11,928.87"
GU8,"6,718.16"
GU9,"7,375.64"
HA0,"1,216.33"
HA1,"1,766.23"
HA2,"1,593.34"
HA3,"3,131.27"
HA4,"5,612.34"
HA5,"6,948.73"
HA6,"3,393.24"
HA7,"6,888.06"
HA8,"3,032.70"
HA9,"1,228.00"
HD1,"2,993.31"
HD2,"3,099.15"
HD3,"3,082.79"
HD4,"4,441.77"
HD5,"2,168.41"
HD6,"6,148.23"
HD7,"1,908.41"
HD8,"5,216.96"
HD9,"3,935.70"
HG1,"6,241.91"
HG2,"4,858.41"
HG3,"5,833.01"
HG4,"13,353.93"
HG5,"3,569.90"
HP1,"3,412.99"
HP10,"3,938.84"
HP11,"2,435.35"
HP12,"3,295.47"
HP13,"4,088.73"
HP14,"6,196.93"
HP15,"1,111.39"
HP16,"1,820.19"
HP17,"1,915.64"
HP18,"4,384.23"
HP19,"2,310.17"
HP2,"4,945.28"
HP20,"2,423.02"
HP21,"4,291.68"
HP22,"9,806.05"
HP23,"1,682.79"
HP27,"3,829.32"
HP3,"2,750.90"
HP4,"4,069.10"
HP5,"4,656.20"
HP6,"2,667.83"
HP7,"2,014.83"
HP8,992.0333873
HP9,"3,512.87"
HR1,"7,408.24"
HR2,"10,964.42"
HR3,"4,931.50"
HR4,"5,582.77"
HR5,"1,625.44"
HR6,"9,286.59"
HR7,"1,418.49"
HR8,"3,948.53"
HR9,"5,163.29"
HS1,222.7431997
HS2,545.3931893
HS3,62.91797828
HS4,14.13866796
HS5,12.70255271
HS6,554.7357631
HS7,357.1438878
HS8,579.7433102
HS9,"1,497.12"
HU1,"1,714.07"
HU10,"7,017.54"
HU11,"2,949.87"
HU12,"6,395.37"
HU13,"1,719.62"
HU14,"5,004.44"
HU15,"6,024.07"
HU16,"5,208.08"
HU17,"7,804.14"
HU18,"1,611.70"
HU19,742.7430628
HU2,"1,051.71"
HU20,330.799994
HU3,"6,038.70"
HU4,"2,130.63"
HU5,"7,539.32"
HU6,"5,532.39"
HU7,"2,783.17"
HU8,"4,800.99"
HU9,"8,027.76"
HX1,"4,747.63"
HX2,"6,069.30"
HX3,"8,383.57"
HX4,"8,189.60"
HX5,"2,700.73"
HX6,"7,906.70"
HX7,"1,926.78"
IG1,"1,538.93"
IG10,"2,422.47"
IG11,"1,890.60"
IG2,"1,078.34"
IG3,"1,730.85"
IG4,560.9004283
IG5,858.2545429
IG6,"1,002.11"
IG7,865.0561956
IG8,"4,093.07"
IG9,"1,897.10"
IP1,"4,781.31"
IP10,"1,207.51"
IP11,"4,841.90"
IP12,"6,140.72"
IP13,"6,368.00"
IP14,"14,363.59"
IP15,279.206259
IP16,476.1458754
IP17,"3,053.88"
IP18,"3,282.19"
IP19,"3,005.69"
IP2,"4,529.75"
IP20,"3,598.45"
IP21,"5,272.73"
IP22,"8,274.64"
IP23,"3,738.49"
IP24,"5,553.24"
IP25,"2,480.44"
IP26,"1,128.79"
IP27,"2,511.38"
IP28,"5,563.51"
IP29,"4,724.84"
IP3,"6,694.73"
IP30,"1,504.04"
IP31,"4,841.02"
IP32,"4,358.96"
IP33,"2,689.76"
IP4,"4,373.49"
IP5,"4,335.76"
IP6,"2,696.59"
IP7,"3,057.79"
IP8,"3,225.08"
IP9,"6,578.10"
IV1,409.6369681
IV10,191.8587164
IV11,68.10213585
IV12,"2,515.26"
IV13,113.6251286
IV14,332.6850179
IV15,906.1478062
IV16,786.8012446
IV17,"3,965.18"
IV18,"4,706.82"
IV19,"3,398.05"
IV2,"8,636.35"
IV20,756.8448276
IV21,"1,230.99"
IV22,"1,660.02"
IV23,349.4388192
IV24,885.6385328
IV25,"1,435.06"
IV26,393.8569452
IV27,"1,375.86"
IV28,159.6611931
IV3,"3,382.71"
IV30,"6,134.72"
IV31,"1,171.67"
IV32,761.0590615
IV36,"5,382.21"
IV4,710.5222778
IV40,489.8259863
IV41,58.55161306
IV42,143.3031003
IV43,84.13915765
IV44,105.7358109
IV45,90.88688968
IV46,34.42312423
IV47,149.0245841
IV48,17.82903198
IV49,365.3367126
IV5,221.5527144
IV51,"2,117.83"
IV52,70.87460721
IV53,25.1692837
IV54,397.3845877
IV55,687.167861
IV56,185.4044018
IV6,662.7202919
IV63,470.2066581
IV7,813.0519087
IV8,62.63566868
IV9,90.95747481
KA1,"2,411.74"
KA10,"2,677.90"
KA11,"1,037.99"
KA12,"6,569.10"
KA13,"4,380.10"
KA14,103.5995234
KA15,900.5507052
KA16,437.6443735
KA17,549.0681918
KA18,"4,291.88"
KA19,"4,963.32"
KA2,"1,097.49"
KA20,"1,204.22"
KA21,"1,107.97"
KA22,"1,008.07"
KA23,"4,748.33"
KA24,"1,437.21"
KA25,851.5670533
KA26,"3,313.89"
KA27,856.114645
KA28,529.914379
KA29,307.5311105
KA3,"1,891.88"
KA30,"2,415.83"
KA4,685.322397
KA5,"5,433.69"
KA6,"1,412.65"
KA7,"4,620.26"
KA8,"2,818.12"
KA9,"2,927.33"
KT1,"2,082.03"
KT10,"2,486.32"
KT11,"2,525.63"
KT12,"5,578.78"
KT13,"3,536.31"
KT14,"1,196.61"
KT15,"2,559.82"
KT16,"1,720.64"
KT17,"4,185.22"
KT18,"2,470.59"
KT19,"4,373.06"
KT2,"2,803.35"
KT20,"2,498.29"
KT21,991.6787656
KT22,"2,180.20"
KT23,"1,778.64"
KT24,"3,025.60"
KT3,"3,848.63"
KT4,"3,621.58"
KT5,"1,252.60"
KT6,"2,094.57"
KT7,"1,270.49"
KT8,"2,702.84"
KT9,"1,484.39"
KW1,"2,983.34"
KW10,442.6818024
KW11,50.91481446
KW12,539.0541581
KW13,37.2069798
KW14,"4,320.72"
KW15,"6,624.88"
KW16,"4,115.56"
KW17,"5,387.24"
KW2,21.88073339
KW3,281.7705586
